LAMMPS Description

16000 atoms 
8000 bonds 
1 atom types
1 bond types
-73.6806 73.6806 xlo xhi
-73.6806 73.6806 ylo yhi
-73.6806 73.6806 zlo zhi

Masses 

1 1.00 

Atoms

1 1 1 -0.03 37.5228 55.3962 30.8384
2 1 1 0.03 37.1589 54.5443 31.2149
3 2 1 -0.03 -24.2493 24.249 37.2402
4 2 1 0.03 -24.0677 23.7237 38.0715
5 3 1 -0.03 -55.5549 -9.55153 52.7129
6 3 1 0.03 -55.4708 -10.2702 52.0226
7 4 1 -0.03 42.4786 14.6467 -24.6307
8 4 1 0.03 42.3776 13.7085 -24.962
9 5 1 -0.03 56.5785 -48.1897 19.7194
10 5 1 0.03 57.5673 -48.1768 19.5704
11 6 1 -0.03 -39.88 19.6427 12.8199
12 6 1 0.03 -39.1962 19.7997 12.1073
13 7 1 -0.03 16.9884 45.5821 -28.8064
14 7 1 0.03 16.4022 45.4252 -28.0116
15 8 1 -0.03 67.9963 25.5617 -7.99843
16 8 1 0.03 67.6235 26.3202 -8.53305
17 9 1 -0.03 -5.18841 64.3212 -63.2582
18 9 1 0.03 -5.31424 63.3303 -63.2094
19 10 1 -0.03 34.0922 20.2257 -56.8543
20 10 1 0.03 34.8625 20.4808 -57.4387
21 11 1 -0.03 61.3993 -30.6033 70.5322
22 11 1 0.03 61.8415 -29.7082 70.4746
23 12 1 -0.03 -53.2929 22.7915 24.0519
24 12 1 0.03 -52.8575 22.9356 23.1633
25 13 1 -0.03 7.81049 -10.8159 13.8266
26 13 1 0.03 7.55551 -11.7683 13.9936
27 14 1 -0.03 28.7111 54.236 -22.3534
28 14 1 0.03 28.5609 55.1401 -21.9533
29 15 1 -0.03 38.9952 -17.7993 -13.0719
30 15 1 0.03 38.7977 -18.607 -13.6275
31 16 1 -0.03 61.6711 -64.4876 57.7995
32 16 1 0.03 61.9167 -64.8635 58.693
33 17 1 -0.03 -18.344 3.54325 -64.532
34 17 1 0.03 -18.5304 2.74804 -65.109
35 18 1 -0.03 34.0695 -58.6948 64.0809
36 18 1 0.03 33.8832 -58.553 65.0531
37 19 1 -0.03 -29.3032 -40.5041 60.0704
38 19 1 0.03 -29.1143 -41.4367 59.7629
39 20 1 -0.03 70.3059 0.658355 -49.4025
40 20 1 0.03 71.2853 0.512423 -49.542
41 21 1 -0.03 67.6797 -36.762 68.1387
42 21 1 0.03 68.4034 -37.3606 68.4822
43 22 1 -0.03 34.9679 -6.52667 -12.5541
44 22 1 0.03 35.0788 -7.29097 -13.1894
45 23 1 -0.03 -36.1197 -62.5861 -41.7607
46 23 1 0.03 -37.0124 -62.4196 -42.1794
47 24 1 -0.03 14.1303 -24.26 6.67784
48 24 1 0.03 14.0021 -25.0151 7.32071
49 25 1 -0.03 -39.4711 41.0039 -67.9924
50 25 1 0.03 -38.8655 40.2082 -67.9881
51 26 1 -0.03 -52.6764 50.6059 -30.4297
52 26 1 0.03 -53.4165 50.0352 -30.0738
53 27 1 -0.03 -4.09364 49.4554 -17.5461
54 27 1 0.03 -3.84438 50.4203 -17.6287
55 28 1 -0.03 6.0005 25.8759 -9.68852
56 28 1 0.03 5.73012 25.5698 -8.77572
57 29 1 -0.03 42.8736 21.8252 8.62985
58 29 1 0.03 42.1077 21.1885 8.53962
59 30 1 -0.03 -26.3242 -64.4912 20.8317
60 30 1 0.03 -26.3078 -63.5611 20.4646
